,Event name,Desc,MTTH /Date,Trigger,Option A,Option B,Option C,Option D,Option E,Remark
1,The Ailing Emperor,"Shah Rukh falls severely ill. Muhammad Juki moves towards Herat to secure an advantage in the potential succession crisis, but Gawhar Shad had gotten the backing of the military for the ascension of Ala-al Dawla Mirza",on_startup,TAG =TIM,There is no choice but to wait,,,,,
2,Secret plot,"Shah Rukh, however, unexpectedly recovers in October. This leads to the removal of Firuzshah as governor of Isfahan and Balkh, due to his support of Ala-al Dawla Mirza and him withholding taxes, with his brother, Mahmudshah, being severely ill. ",1 month,TAG =TIM,"Remove Firuzshah from Balkh and Isfahan, Muhammad Juki becomes ruler in Balkh",A stern talk should do the trick,,,,
3,Fate of Firuzshah,"Firuzshah, disgraced, dies of disease shortly after.",6 months,TAG =TIM,The shame…,,,,,
4,Gawhar Shad’s Regency,,12 months,TAG = TIM,(see planning doc for this),,,,,
5,Illness of Muhammad Juki,"Muhammad Juki, who some historians believe was Shah Rukh’s favored successor, a son of Shah Rukh, who had prepared for the potential succession crisis a year beforehand, dies of illness. Said illness was apparently chronic, but shows up very little in historical records.",15 months,TAG =TIM,Chronic illness? Why do I hear about this only now? / 90% chance of Juki dying ,Chronic illness you say? Juki dies but gain free temple,,,,
6,Conspiring in Isfahan,"Sultan Muhammad (ruler of Ajam in EU4) receives letters from the nobles of Isfahan, requesting that he seize power from Mahmudshah, who was seventy years old and severely ill.",15 months,TAG = QOM,"A golden opportunity! Isfahan gains 30% LD for 10 years, Ajam allies them AI will always go for this. Set country_flag = isfh_rebels","Lets support them with money! Lose 100 ducats, ISF gains 60% LD for 10 years Set country_flag = isfh_rebels",We only need to wait for their downfall. Gain 10 prestige,,,
7,Choosing a successor,,24 months,TAG = TIM,"The favorite of the Nobility, Ala-al Dawla Mirza. * see planning document for effects * ","“My most prosperous son, Ulugh Beg.”","My favorite, Muhammad Juki.”",There is still time for this…,,
8,Rebellion in Isfahan,"2 May 1446 - Sultan Muhammad arrived in Isfahan on the request of its nobles, declaring an amnesty on taxes and staged a magnificent feast. ",30 months,TAG = ISF / country_flag = isfh_rebels,Send our demands to the governors! ISF declares war on TIM with CB war for Timur's throne in 6 months AI will go for this set_country_flag = isfh_rebels_2,"Expel him, lest you bring Shah Rukhs wrath on our head! Lose 3 stability, 100 legitimacy and the LD modifier",,,,
9,Muhammads demands - receiving side," This is considered the start of the rebellion of Sultan Muhammad, as he sends out letters demanding fealty from local leaders.",1 day after EVENT 8,TAG = every governor and prince except TIM,"Submit. Ally to ISF, ISF gains 25 favors with tag AI will chose depending on LD and army strenght compared to TIM /AFG and TRS doesnt take this ever/",This is not our fight TAG will white peace when ISF starts independence war TRS takes this,Never! TAG will fight against ISF,,,
10,ISF wins,Isfahan succeds in the independence war,,TAG = ISF / country_flag = isfh_rebels,"ISF becomes a Prince. If QOM supported them, they become a subject of QOM. demands will be sent out for remaining Princes and govs who aligned with them to submit.",,,,,
